Title,Price,KM,Fuel Type,Transmission,Location,Seats,Engine,Link,Source
2015 Mitsubishi Colt L300 2.5 MT PU BOX FREEZER,Rp 52 Juta,"56,380 Km",Diesel,,Banda Aceh,,,https://www.oto.com/detail-mobil-bekas/mitsubishi-colt-l300-2002-2013-2-5-mt-pu-box-freezer-641861,oto
2012 Suzuki Futura 15futura,Rp 30 Juta,"75,800 Km",Bensin,Manual,Banda Aceh,7 seat,1500 CC,https://www.oto.com/detail-mobil-bekas/suzuki-futura-2005-2015-new-15futura-641865,oto
2012 Daihatsu Gran Max PU BOX 1.5 RD FH,Rp 59 Juta,"46,389 Km",Diesel,,Bandung,,,https://www.oto.com/detail-mobil-bekas/daihatsu-gran-max-pu-box-1-5-rd-fh-641901,oto
2003 Suzuki Futura 1.5L D REAL VAN,Rp 30 Juta,"43,628 Km",Bensin,,Semarang,,,https://www.oto.com/detail-mobil-bekas/suzuki-futura-2005-2015-new-1-5l-d-real-van-641985,oto
2000 Daihatsu Taft GT 4 X 4  M/T JEP,Rp 32 Juta,"75,800 Km",Diesel,,Banda Aceh,,,https://www.oto.com/detail-mobil-bekas/daihatsu-taft-1996-2007-gt-4-x-4-f70-mt-jep-641859,oto
2008 Ford Ranger DC 2.5 XLT-D 4X2 MT,Rp 60 Juta,"43,217 Km",Diesel,,Indramayu,,,https://www.oto.com/detail-mobil-bekas/ford-ranger-dc-2-5-xlt-d-4x2-mt-641604,oto
2000 Daihatsu Taft GTL 4x4 2.8 MT,Rp 35 Juta,"43,251 Km",Diesel,,Indramayu,,,https://www.oto.com/detail-mobil-bekas/daihatsu-taft-1996-2007-gtl-4x4-2-8-mt-641603,oto
2016 Daihatsu Hi Max AC & PS,Rp 50 Juta,"51,200 Km",Bensin,Manual,Mojokerto,2 seat,998 CC,https://www.oto.com/detail-mobil-bekas/daihatsu-hi-max-ac-a-ps-641336,oto
2015 Daihatsu Luxio 1.5L D MT STD,Rp 52 Juta,"98,587 Km",Diesel,,Jakarta Selatan,,,https://www.oto.com/detail-mobil-bekas/daihatsu-luxio-1-5l-d-mt-std-641522,oto
2015 Suzuki Futura 1.5L G REAL VAN,Rp 45 Juta,"46,531 Km",Bensin,,Bogor,,,https://www.oto.com/detail-mobil-bekas/suzuki-futura-2005-2015-new-1-5l-g-real-van-641407,oto
2014 Toyota Hilux 2.5L Single Cab,Rp 57 Juta,"32,175 Km",Diesel,Manual,Indramayu,2 seat,2494 CC,https://www.oto.com/detail-mobil-bekas/toyota-hilux-2-5l-single-cab-641326,oto
2014 Kia Rio  1.4 M Bensin AT,Rp 55 Juta,"21,602 Km",Bensin,,Medan,,,https://www.oto.com/detail-mobil-bekas/kia-rio-2016-1-4-m-bensin-at-641421,oto
2013 Kia Optima 2.4 MPI AT,Rp 55 Juta,"64,588 Km",Bensin,Otomatis,Aceh Barat,4 seat,2359 CC,https://www.oto.com/detail-mobil-bekas/kia-optima-2-4-mpi-at-641414,oto
2012 Daihatsu Xenia 1.3 X MT,Rp 55 Juta,"98,254 Km",Bensin,Manual,Banda Aceh,7 seat,1329 CC,https://www.oto.com/detail-mobil-bekas/daihatsu-xenia-1-3-x-mt-641582,oto
2010 Ford Ranger DC 2.2 XLT 4X4 MT,Rp 60 Juta,"34,895 Km",Diesel,,Blitar,,,https://www.oto.com/detail-mobil-bekas/ford-ranger-dc-2-2-xlt-4x4-mt-641508,oto
2008 Ford Ranger DC 2.2 XLT 4X4 MT,Rp 60 Juta,"432,175 Km",Diesel,,Blitar,,,https://www.oto.com/detail-mobil-bekas/ford-ranger-dc-2-2-xlt-4x4-mt-641506,oto
2005 Nissan Terrano  Spirit,Rp 54 Juta,"84,730 Km",Bensin,Manual,Aceh Barat,5 seat,2389 CC,https://www.oto.com/detail-mobil-bekas/nissan-terrano-1998-2004-spirit-641401,oto
2000 Daihatsu Taft GTL 4x4 2.8 MT,Rp 35 Juta,"43,218 Km",Diesel,,Blitar,,,https://www.oto.com/detail-mobil-bekas/daihatsu-taft-1996-2007-gtl-4x4-2-8-mt-641501,oto
2000 Daihatsu Taft GTL 4 X 4 M/T JEP,Rp 40 Juta,"33,857 Km",Diesel,,Jember,,,https://www.oto.com/detail-mobil-bekas/daihatsu-taft-1996-2007-gtl-4-x-4-mt-jep-641392,oto
2019 Datsun GO  1.2L MT,Rp 60 Juta,"28,455 Km",Bensin,,Bekasi,,,https://www.oto.com/detail-mobil-bekas/datsun-go-1-2l-mt-641168,oto
2014 Mitsubishi Colt T120 SS MPI 1.5L PU,Rp 38 Juta,"86,879 Km",Bensin,,Pekanbaru,,,https://www.oto.com/detail-mobil-bekas/mitsubishi-colt-t120-ss-mpi-1-5l-pu-639904,oto
2013 Mitsubishi Colt L300 DIESEL STANDAR 2.5 PU BOX,Rp 34 Juta,"165,528 Km",Bensin,,Malang,,,https://www.oto.com/detail-mobil-bekas/mitsubishi-colt-l300-2002-2013-diesel-standar-2-5-pu-box-639923,oto
2008 Nissan Latio Sedan 1.8 AT HATCHBACK,Rp 60 Juta,"145,368 Km",Bensin,,Malang,,,https://www.oto.com/detail-mobil-bekas/nissan-latio-sedan-2006-1-8-at-hatchback-639925,oto
2005 Mitsubishi Grandis  Grandis 2.4 Mive A/T,Rp 41 Juta,"151,198 Km",Bensin,,Malang,,,https://www.oto.com/detail-mobil-bekas/mitsubishi-grandis-2003-2011-grandis-2-4-mive-at-639922,oto
2004 Nissan Terrano  Spirit,Rp 34 Juta,"190,000 Km",Bensin,Manual,Banjar,5 seat,2389 CC,https://www.oto.com/detail-mobil-bekas/nissan-terrano-1998-2004-spirit-639859,oto
2014 Toyota Hilux 2.5L Single Cab,Rp 60 Juta,"32,567 Km",Diesel,Manual,Bekasi,2 seat,2494 CC,https://www.oto.com/detail-mobil-bekas/toyota-hilux-2-5l-single-cab-639788,oto
2013 Toyota Hilux 2.4L DSL Single Cab 4x2 MT,Rp 55 Juta,"81,754 Km",Diesel,Manual,Magelang,2 seat,2393 CC,https://www.oto.com/detail-mobil-bekas/toyota-hilux-2-4l-dsl-single-cab-4x2-mt-639698,oto
2013 Toyota Hilux 2.4L DSL Single Cab 4x2 MT,Rp 60 Juta,"75,024 Km",Diesel,Manual,Banjarnegara,2 seat,2393 CC,https://www.oto.com/detail-mobil-bekas/toyota-hilux-2-4l-dsl-single-cab-4x2-mt-639712,oto
2013 Toyota Hilux 2.4L DSL Single Cab 4x2 MT,Rp 60 Juta,"87,544 Km",Diesel,Manual,Semarang,2 seat,2393 CC,https://www.oto.com/detail-mobil-bekas/toyota-hilux-2-4l-dsl-single-cab-4x2-mt-639722,oto
2001 Peugeot 206 Sporty 1.4L AT,Rp 39 Juta,"200,000 Km",Bensin,,Surabaya,,,https://www.oto.com/detail-mobil-bekas/peugeot-206-sporty-1-4l-at-639675,oto
2018 Datsun GO  A CVT,Rp 45 Juta,"32,000 Km",Bensin,Cvt,Medan,5 seat,1198 CC,https://www.oto.com/detail-mobil-bekas/datsun-go-a-cvt-639532,oto
2014 Toyota Hilux 2.5L Single Cab,Rp 60 Juta,"32,721 Km",Diesel,Manual,Pangkal Pinang,2 seat,2494 CC,https://www.oto.com/detail-mobil-bekas/toyota-hilux-2-5l-single-cab-639620,oto
2011 Kia Rio  1.4L MT,Rp 55 Juta,"25,185 Km",Bensin,,Serang,,,https://www.oto.com/detail-mobil-bekas/kia-rio-1-4l-mt-639572,oto
2010 Ford Ranger XLT LIMITED 4X4 MT,Rp 52 Juta,"78,545 Km",Diesel,,Malang,,,https://www.oto.com/detail-mobil-bekas/ford-ranger-xlt-limited-4x4-mt-639495,oto
2004 Mitsubishi Kuda 2.5 MT GRANDIA DIESEL,Rp 32 Juta,"72,805 Km",Diesel,,Banda Aceh,,,https://www.oto.com/detail-mobil-bekas/mitsubishi-kuda-2-5-mt-grandia-diesel-639549,oto
2018 Daihatsu Gran Max BLIND VAN 1.3 FH,Rp 60 Juta,"32,175 Km",Diesel,,Bandung,,,https://www.oto.com/detail-mobil-bekas/daihatsu-gran-max-blind-van-1-3-fh-639475,oto
2008 Mitsubishi Strada Triton DOUBLE CABIN GLX 2.8 PU,Rp 57 Juta,"42,317 Km",Diesel,,Bandung,,,https://www.oto.com/detail-mobil-bekas/mitsubishi-strada-triton-2015-double-cabin-glx-2-8-pu-639474,oto
2002 Toyota Soluna 1.5 GLI M/T SDN,Rp 49 Juta,"195,000 Km",Bensin,,Pekalongan,,,https://www.oto.com/detail-mobil-bekas/toyota-soluna-2002-2003-1-5-gli-mt-sdn-639377,oto
2000 Daihatsu Taft ROCKY 4 X 4  M/T JEP,Rp 45 Juta,"43,219 Km",Diesel,,Batam,,,https://www.oto.com/detail-mobil-bekas/daihatsu-taft-1996-2007-rocky-4-x-4-f75-mt-jep-639367,oto
2013 Isuzu D Max DC MT,Rp 60 Juta,"13,317 Km",Diesel,Manual,Samarinda,5 seat,1898 CC,https://www.oto.com/detail-mobil-bekas/isuzu-d-max-dc-mt-639351,oto
2008 Toyota Hilux 2.0L Single Cab,Rp 60 Juta,"54,848 Km",Bensin,Manual,Balikpapan,2 seat,1998 CC,https://www.oto.com/detail-mobil-bekas/toyota-hilux-2-0l-single-cab-639360,oto
2014 Hyundai Grand i10 1.2L GL MT,Rp 54 Juta,"73,463 Km",Bensin,,Lamongan,,,https://www.oto.com/detail-mobil-bekas/hyundai-grand-i10-1-2l-gl-mt-638733,oto
2014 Daihatsu Gran Max STANDART 1.5 PU BOX,Rp 52 Juta,"87,636 Km",Diesel,,Lamongan,,,https://www.oto.com/detail-mobil-bekas/daihatsu-gran-max-standart-1-5-pu-box-non-ac--638738,oto
2014 Kia Rio  1.4L AT,Rp 52 Juta,"21,602 Km",Bensin,,Yogyakarta,,,https://www.oto.com/detail-mobil-bekas/kia-rio-1-4l-at-638809,oto
