Title,Price,KM,Fuel Type,Transmission,Location,Seats,Engine,Link,Source
2017 Toyota Yaris Heykers S CVT TRD HEYKERS,192000000,57000,Bensin,Unknown,Bandung,0,Unknown,https://www.oto.com/detail-mobil-bekas/toyota-yaris-heykers-s-cvt-trd-heykers-614324,oto
2022 Toyota Veloz Q CVT TSS,269000000,14000,Bensin,Cvt,Jakarta Utara,7,1496 CC,https://www.oto.com/detail-mobil-bekas/toyota-avanza-veloz-q-cvt-tss-612922,oto
2021 Toyota Fortuner 2.4 VRZ AT,495000000,25000,Diesel,Otomatis,Surabaya,7,2393 CC,https://www.oto.com/detail-mobil-bekas/toyota-fortuner-2-4-vrz-at-611233,oto
2020 Honda HRV  1.5L E CVT,290000000,35693,Bensin,Cvt,Jakarta Utara,5,1497 CC,https://www.oto.com/detail-mobil-bekas/honda-hr-v-2019-2021-1-5l-e-cvt-608802,oto
2011 Toyota Kijang Innova 2.0 G AT,135000000,150000,Bensin,Unknown,Jakarta Utara,0,Unknown,https://www.oto.com/detail-mobil-bekas/toyota-kijang-innova-2-0-g-at-603887,oto
2017 Suzuki Ertiga GX 1.4L MT,148000000,71000,Bensin,Unknown,Bekasi,0,Unknown,https://www.oto.com/detail-mobil-bekas/suzuki-ertiga-gx-1-4l-mt-607446,oto
2018 Honda Brio Satya S M/T,122000000,62000,Bensin,Manual,Jakarta Timur,5,1199 CC,https://www.oto.com/detail-mobil-bekas/honda-brio-satya-s-mt-606882,oto
2015 Suzuki Ertiga GX AT,133000000,110000,Bensin,Otomatis,Depok,7,1462 CC,https://www.oto.com/detail-mobil-bekas/suzuki-ertiga-gx-at-605977,oto
2015 Toyota Avanza G 1.3L MT,133000000,27000,Bensin,Unknown,Depok,0,Unknown,https://www.oto.com/detail-mobil-bekas/toyota-avanza-g-1-3l-mt-605979,oto
2013 Nissan Grand Livina  1.5 XV AT,105000000,98000,Bensin,Otomatis,Jakarta Utara,7,1498 CC,https://www.oto.com/detail-mobil-bekas/nissan-grand-livina-2011-2013-1-5-xv-at-606033,oto
2013 Toyota Kijang Innova 2.0 V AT,180000000,121000,Bensin,Unknown,Depok,0,Unknown,https://www.oto.com/detail-mobil-bekas/toyota-kijang-innova-2-0-v-at-606122,oto
2013 Toyota Fortuner G 2.5L Diesel AT VNTURBO,265000000,97000,Diesel,Unknown,Depok,0,Unknown,https://www.oto.com/detail-mobil-bekas/toyota-fortuner-g-2-5l-diesel-at-vnturbo-606139,oto
2019 Daihatsu Ayla 1.0L X MT,102000000,26000,Bensin,Manual,Jakarta Timur,5,998 CC,https://www.oto.com/detail-mobil-bekas/daihatsu-ayla-1-0l-x-mt-605256,oto
2022 Toyota Kijang Innova REBORN 2.4 V AT DIESEL,500000000,33828,Diesel,Unknown,Jakarta Pusat,0,Unknown,https://www.oto.com/detail-mobil-bekas/toyota-kijang-innova-reborn-2-4-v-at-diesel-604592,oto
2018 Honda HRV  1.5 E CVT SE,252000000,54427,Bensin,Unknown,Tangerang Selatan,0,Unknown,https://www.oto.com/detail-mobil-bekas/honda-hr-v-2015-2018-1-5-e-cvt-se-603627,oto
2018 Toyota Avanza Veloz  1.3 A/T,169000000,78000,Bensin,Otomatis,Jakarta Utara,7,1329 CC,https://www.oto.com/detail-mobil-bekas/toyota-avanza-veloz-2012-2018-1-3-at-602403,oto
2017 Honda Brio RS,158000000,70000,Bensin,Manual,Bekasi,5,1199 CC,https://www.oto.com/detail-mobil-bekas/honda-brio-rs-601782,oto
2012 Nissan Grand Livina 1.5 SV CVT,100000000,100000,Bensin,Cvt,Tangerang,7,1498 CC,https://www.oto.com/detail-mobil-bekas/nissan-grand-livina-1-5-sv-cvt-601654,oto
2022 Daihatsu Ayla 1.2L R MT,133000000,7769,Bensin,Manual,Bekasi,5,1198 CC,https://www.oto.com/detail-mobil-bekas/daihatsu-ayla-1-2l-r-mt-600275,oto
2017 Honda Mobilio  1.5 E M CVT CKD,165000000,56376,Bensin,Unknown,Bekasi,0,Unknown,https://www.oto.com/detail-mobil-bekas/honda-mobilio-2013-2018-1-5-e-m-cvt-ckd-599112,oto
