Title,Price,KM,Fuel Type,Transmission,Location,Seats,Engine,Link
2016 Daihatsu Ayla 1.0 X Hatchback _ TDP 5 jt angsuran murah,82000000.0,62500.0,Pertamax,N/A,Jakarta Timur,5.0,N/A,https://www.mobil123.com/dijual/daihatsu-ayla-x-dki-jakarta-jati-cempaka/14457003
2012 Nissan Evalia 1.5 XV MPV,82500000.0,222500.0,Pertamax,N/A,Jakarta Pusat,7.0,N/A,https://www.mobil123.com/dijual/nissan-evalia-xv-dki-jakarta-gondangdia/14845639
2016 Datsun GO+ 1.2 T-OPTION MPV MANUAL,85000000.0,67500.0,Pertamax,N/A,Surabaya,7.0,N/A,https://www.mobil123.com/dijual/datsun-go%2B-t-option-jawa-timur-gubeng/14964003
Ford Fiesta 1.4 trend AT 2012 Putih Kondisi Istimewa Dan Dijamin Siap Pakai #kawanmobilbekas ,90000000.0,120000.0,Pertamax,N/A,Tangerang,5.0,N/A,https://www.mobil123.com/dijual/ford-fiesta-trend-banten-gading-serpong/14962873
Ford Fiesta 1.4 Trend AT 2012 Putih,,,,,,,,
"Kondisi Istimewa Dan Dijamin Siap Pakai #kawanmobilbekas """,90000000.0,120000.0,Pertamax,N/A,Jakarta Selatan,5.0,N/A,https://www.mobil123.com/dijual/ford-fiesta-trend-dki-jakarta-bintaro/14962759
"2010 Toyota Vios 1,5 G Sedan",90000000.0,122000.0,Pertamax,N/A,Jakarta Utara,5.0,N/A,https://www.mobil123.com/dijual/toyota-vios-g-dki-jakarta-kelapa-gading/14962258
"2013 Daihatsu Sirion 1,3 D FMC Hatchback",88000000.0,90000.0,Pertamax,N/A,Jakarta Barat,5.0,N/A,https://www.mobil123.com/dijual/daihatsu-sirion-d-fmc-dki-jakarta-kembangan/14962077
2016 Suzuki Karimun Wagon R 1.0 GL Wagon R Hatchback AT (TDP 8JT),83000000.0,57500.0,Pertamax,N/A,Jakarta Pusat,5.0,N/A,https://www.mobil123.com/dijual/suzuki-karimun-wagon-r-gl-wagon-r-dki-jakarta-gunung-sahari/14960788
( TDP 8jt ) Honda Brio 1.2 E Satya MT 2014 Silver Kondisi Istimewa Dan Dijamin Siap Pakai #kawanmobilbekas ,85000000.0,50000.0,Pertamax,N/A,Jakarta Selatan,5.0,N/A,https://www.mobil123.com/dijual/honda-brio-satya-e-dki-jakarta-bintaro/14960381
2012 Mazda 2 1.5 R Hatchback,90000000.0,102500.0,Pertamax,N/A,Jakarta Utara,5.0,N/A,https://www.mobil123.com/dijual/mazda-2-r-dki-jakarta-ancol/14958397
